"Family","NoSample","Vowel_Number_mean","Vowel_Number_median","Vowel_Number_se","Dispersion_mean","Dispersion_median","Dispersion_se","Focalization_log_mean","Focalization_log_median","Focalization_log_se","Articulatory_Space_mean","Articulatory_Space_median","Articulatory_Space_se","Effective_DE_log_mean","Effective_DE_log_median","Effective_DE_log_se"
"IndoEuropean",233,6.88841201716738,7,0.121584513815179,2.67799656652361,2.6365,0.0341057850097989,-0.532348041627782,-0.532687937019448,0.0109350530003549,12.5059231759657,12.5038,0.285267634463563,-0.647586036080568,-0.660151216962363,0.01011970805493
"NigerCongo",46,7.89130434782609,7,0.241229261068626,2.35060434782609,2.2952,0.0754873398833984,-0.503515247701658,-0.532620777450052,0.0246358912709521,14.1412956521739,13.60125,0.621908929396699,-0.770296472842207,-0.756593839972995,0.0185956629108571
"AfroAsiatic",31,4.67741935483871,5,0.271938863995115,3.00584838709677,2.8131,0.121090837303842,-0.812485020990543,-0.783834097714007,0.032852176647121,8.70860322580645,9.2361,0.66693514792466,-0.422921152694286,-0.506402550999473,0.0417500746819886
"Uralic",31,8.2258064516129,8,0.320314621607907,2.57363870967742,2.5795,0.0890644808916756,-0.462619117315725,-0.48372911727066,0.0269649615691191,13.5373774193548,13.6119,0.823491475675301,-0.703132372441298,-0.707522406332216,0.0274962901871899
"SinoTibetan",23,6.04347826086957,6,0.404902080924044,2.79769130434783,2.7388,0.0895743846856896,-0.540579627139884,-0.510604078272871,0.0426374465900442,13.8188956521739,14.8421,1.43849326556581,-0.636313380554714,-0.696803942579511,0.0499206578797376
"Isolate",20,6.35,5.5,0.378883401033811,2.551295,2.58455,0.0900170871133277,-0.623443357921649,-0.664585697829468,0.0350090022878474,10.396595,10.74565,0.605312264193362,-0.600411421034967,-0.584647425404875,0.0328217397909178
"NiloSaharan",19,7.57894736842105,7,0.377090969477275,2.2727,2.1993,0.125548770142166,-0.531090790168048,-0.518270803039984,0.0222348845532752,12.7668578947368,12.2171,0.802756691027379,-0.744674624829379,-0.744727494896694,0.030478311268014
"Altaic",17,9.11764705882353,9,0.352327898550322,2.12535882352941,2.1142,0.0753549937154444,-0.349277789455524,-0.348528147800958,0.034994824239798,12.3340294117647,11.9296,0.875926927341272,-0.751500078764761,-0.737548910269571,0.0218794466788182
"Austronesian",16,5.6875,6,0.453860753241931,3.00975,2.9308,0.197951484376012,-0.589692321242622,-0.594766795347452,0.0433386348938,12.12545625,11.3263,1.1625192094459,-0.586522503635791,-0.61365032533001,0.0511833223432428
"AustroAsiatic",14,10.3571428571429,10,0.487279314457605,2.6805,2.5718,0.117355222473302,-0.172992841530616,-0.200116195702445,0.0471872781177434,18.1413785714286,17.5268,1.27506561180797,-0.821717506410245,-0.805374064395385,0.0189000378014106
