IDX,ISO693 Code,Language,Dialect,Genus,Recording Method,Quantity,#Vowel Number,,Dispersion,Focalization,Articulatory Space,Effective DE,Marco-areas Mapping to the Phoible database ,"Geographic Regions mappting to Creanza et al.2015, PNAS"
1,aeb,Tunisian Arabic,Kairouan,AfroAsiatic,Wordlist,Long,3,,3.8001 ,0.1345 ,4.3949 ,0.8646 ,Africa,Africa
2,aeb,Tunisian Arabic,Tunis,AfroAsiatic,Wordlist,Long,4,,3.5850 ,0.1576 ,12.4192 ,0.2887 ,Africa,Africa
3,aeb,Tunisian Arabic,Tunis,AfroAsiatic,Wordlist,Short,4,,3.5847 ,0.1512 ,11.4296 ,0.3136 ,Africa,Africa
4,afn,Defaka,,NigerCongo,Wordlist,Combined,7,,1.7246 ,0.2267 ,8.8826 ,0.1942 ,Africa,Africa
5,afr,Afrikaans,,IndoEuropean,Wordlist,Short,8,,1.9476 ,0.3588 ,13.7040 ,0.1421 ,Africa,Africa
6,afr,Afrikaans,,IndoEuropean,Isolation,Mixed,9,,2.2440 ,0.3008 ,12.7795 ,0.1756 ,Africa,Africa
7,aka,Akan,Kwawu,NigerCongo,Carrier sentence,Uniform,9,,1.8575 ,0.2739 ,10.2436 ,0.1813 ,Africa,Africa
8,amh,Amharic,Standard,AfroAsiatic,Wordlist,Uniform,7,,2.8022 ,0.2261 ,12.8399 ,0.2182 ,Africa,Africa
9,ary,Moroccan Arabic,,AfroAsiatic,Isolation,Long,3,,4.8432 ,0.1846 ,9.1930 ,0.5268 ,Africa,Africa
10,ary,Moroccan Arabic,,AfroAsiatic,Wordlist,Long,3,,4.1526 ,0.0904 ,6.5234 ,0.6366 ,Africa,Africa
11,arz,Egyptian Arabic,Cairo,AfroAsiatic,Carrier sentence,Short,3,,2.5544 ,0.0772 ,2.6199 ,0.9750 ,Africa,Africa
12,arz,Egyptian Arabic,,AfroAsiatic,Isolation,Short,3,,2.5476 ,0.0779 ,2.6699 ,0.9542 ,Africa,Africa
13,arz,Egyptian Arabic,Cairo,AfroAsiatic,Carrier sentence,Long,5,,2.6660 ,0.1685 ,10.6761 ,0.2497 ,Africa,Africa
14,arz,Egyptian Arabic,,AfroAsiatic,Isolation,Long,5,,3.4689 ,0.2392 ,13.9413 ,0.2488 ,Africa,Africa
15,bdu,Oroko,Mbonge,NigerCongo,Wordlist,Uniform,7,,1.8452 ,0.1472 ,7.5978 ,0.2429 ,Africa,Africa
16,bdu,Oroko,Londo,NigerCongo,Wordlist,Uniform,7,,2.0986 ,0.2298 ,8.3642 ,0.2509 ,Africa,Africa
17,bjv,Bedjond,Beda,NiloSaharan,Carrier sentence,Long,6,,3.0221 ,0.3032 ,11.8422 ,0.2552 ,Africa,Africa
18,bjv,Bedjond,Bediondo,NiloSaharan,Carrier sentence,Long,6,,3.6537 ,0.3713 ,20.2579 ,0.1804 ,Africa,Africa
19,bov,Tuwuli,,NigerCongo,Wordlist,Uniform,7,,2.5370 ,0.2877 ,14.5446 ,0.1744 ,Africa,Africa
20,bvi,Viri,,NigerCongo,Isolation,Uniform,6,,2.5544 ,0.2695 ,10.3378 ,0.2471 ,Africa,Africa
21,bvx,Dibole,Dzeke,NigerCongo,Wordlist,Uniform,7,,2.4871 ,0.3085 ,15.3636 ,0.1619 ,Africa,Africa
